,OFF_RATING,PACE,PPP,WINS
123,-2.084474301402123,-1.309067645797767,0.982,18.0
124,-1.3278945177382557,0.6379633463697952,1.005,47.0
125,1.2910355026366749,0.7208157290152247,1.085,58.0
126,0.09796738224365256,1.052225259596937,1.047,49.0
127,-0.33852095448550257,0.9279466856287957,1.034,34.0
128,0.03976893734643105,-0.9362319238933428,1.044,51.0
129,-0.25122328713967235,-0.7291009672797718,1.038,37.0
130,0.5344557189728076,0.0579966678518001,1.064,34.0
131,1.4947300597769482,-0.19056048008448856,1.089,59.0
132,0.09796738224365256,-0.024855714793629455,1.051,30.0
133,0.5344557189728076,-0.7705271586024837,1.066,44.0
134,-1.3860929626354774,-0.7705271586024837,0.999,42.0
135,-0.018429507550790463,-0.19056048008448856,1.045,33.0
136,-0.2803225095882852,1.5907657467922263,1.034,36.0
137,-0.19302484224245087,-1.6404771763794852,1.037,44.0
138,-0.6586124014202188,1.6321919381149381,1.018,43.0
139,2.5714012903755314,2.087880042664792,1.127,62.0
140,-0.862306958560492,-0.3976914366980595,1.019,27.0
141,1.2910355026366749,0.8865204943060838,1.088,50.0
142,0.5344557189728076,-0.894805732570625,1.061,59.0
143,1.4656308373283353,-1.060510497861484,1.103,52.0
144,0.4180588291783647,0.5965371550470834,1.054,33.0
145,-0.5713147340743886,-1.060510497861484,1.029,26.0
146,-0.16392561979384218,-1.0190843065387722,1.042,45.0
147,0.272562716935313,1.0936514509196549,1.054,45.0
148,-0.07662795244801197,-1.5576247937340557,1.039,54.0
149,-1.4733906299813075,0.5965371550470834,0.998,18.0
150,0.1347267479249249,0.002861654981016471,1.048,26.0
151,-0.3143624118248395,0.7325836751408815,1.04,33.0
152,0.6183612276554433,-0.34053694274127116,1.066,50.0
153,-0.9707234914591139,-0.7268603651788486,1.023,38.0
154,-0.7289062515938546,1.1618319222937425,1.033,41.0
155,1.8274474269817347,-1.1561086123317097,1.099,60.0
156,-0.2107264518825869,1.5481553447313139,1.044,44.0
157,-0.5216343317093446,1.2047567470090264,1.035,34.0
158,-1.55799393113188,-1.11318378761642,1.004,34.0
159,-0.17618113190183277,0.4750347268491612,1.038,47.0
160,0.6874518676169467,0.2604106032727307,1.068,45.0
161,1.0329050674244584,0.3462602527033041,1.075,52.0
162,-0.03799985197883101,0.2604106032727307,1.049,40.0
163,-1.3161766912666255,-0.7268603651788486,1.015,33.0
164,-0.6598156116323513,-0.4263865921718446,1.024,49.0
165,-0.7979968915553579,0.0887113044115899,1.027,23.0
166,0.06563610796342155,-0.9844093134705628,1.053,36.0
167,-0.6252702916516021,-0.4263865921718446,1.031,41.0
168,0.10018142794417567,0.9042829740020223,1.047,38.0
169,2.069264666846994,2.1920277154606054,1.102,54.0
170,-1.9034471309393917,-1.241958261762283,0.997,21.0
171,0.169272067905679,0.6038092009950244,1.053,44.0
172,0.6183612276554433,-1.0273341381858525,1.062,63.0
173,1.3783582672319703,0.646734025710308,1.094,35.0
174,1.1365410273667111,0.217485778557447,1.079,27.0
175,-0.9016328514976105,-1.11318378761642,1.024,41.0
176,-0.14163581192108357,-1.8858306324915748,1.045,49.0
177,0.8947237875014518,0.8184333245714549,1.077,42.0
178,1.4819942271742228,-1.5853568594845706,1.093,64.0
179,-1.3507220112473748,1.2906063964395997,1.012,26.0
180,-1.3928297579083413,-0.7196270741348899,1.02,30.0
181,-1.354353797745124,0.06685060251526984,1.023,24.0
182,-0.43093075382799256,-0.4443598873073329,1.044,50.0
183,-0.7002624749704859,-0.6803031903023842,1.037,39.0
184,-0.4694067139912043,0.6567088600028896,1.04,49.0
185,1.8391508958016327,-0.9555703771299356,1.097,67.0
186,0.4540163299259327,2.3083119809682264,1.067,45.0
187,0.3770644095995037,2.858846354623335,1.062,42.0
188,0.10773268845700497,-0.52300765497235,1.047,52.0
189,-0.5078826741544161,-0.4443598873073329,1.038,40.0
190,0.723348051068426,0.6567088600028896,1.073,42.0
191,-0.43093075382799256,-0.8769226094649242,1.034,44.0
192,0.10773268845700497,0.1848222540127927,1.06,28.0
193,-1.0080701562762018,-0.40503600347482716,1.024,32.0
194,-0.007695192032635792,-0.2870643519773043,1.042,41.0
195,-0.3924547936647753,-0.48368377113984423,1.043,33.0
196,-0.661786514807274,-0.8375987256324128,1.041,40.0
197,-1.4313057180715532,0.22414613784530404,1.019,35.0
198,-1.0465461164394136,-0.4443598873073329,1.024,35.0
199,2.95495374053484,1.4825104204855553,1.129,61.0
200,-0.7772143952969148,-1.388133099287527,1.038,32.0
201,-0.04617115219585302,1.1285954659929867,1.051,33.0
202,1.1465836128637827,-0.9162464932974299,1.086,58.0
203,0.14620864862021674,-0.011797165149747256,1.059,31.0
204,0.49249229008914447,0.14549837018028694,1.057,47.0
205,1.1465836128637827,-0.09044493281476436,1.086,51.0
206,0.22316056894664574,0.6173849761703839,1.057,22.0
207,1.1465836128637827,0.9319760468304468,1.087,41.0
208,0.954203812047713,-1.8206958214451125,1.074,53.0
209,-1.1619739969290543,0.06685060251526984,1.024,33.0
210,-0.19372120362279452,-0.3779225377415085,1.055,37.0
211,0.7616162389005876,-0.47319712708810435,1.088,66.0
212,-0.4060184130724346,-0.7272626986790279,1.048,45.0
213,1.1331363554374605,-0.854295484474492,1.1,56.0
214,-0.9898357390589475,0.28899958768467104,1.029,33.0
215,1.0269877507126386,-0.7272626986790279,1.095,51.0
216,0.7616162389005876,2.3850405533097967,1.089,50.0
217,1.159673506618664,2.099216785270009,1.104,48.0
218,-0.2202583548039981,-0.6002299128835639,1.054,55.0
219,-1.5736530650454605,-0.1556151625994487,0.999,23.0
220,1.478119320793126,1.0194381060085782,1.117,57.0
221,-1.759413123313897,-0.7272626986790279,0.994,15.0
222,-0.6183156225220746,-0.3144061448437765,1.039,26.0
223,-1.0694471926025622,-0.18737335904831243,1.027,22.0
224,-0.8836871343341256,-0.28264794839490825,1.023,34.0
225,-0.8836871343341256,-0.21913155549718072,1.035,23.0
226,1.1331363554374605,0.2572413912358028,1.104,52.0
227,-0.2733326571664091,1.6863602314347532,1.051,36.0
228,-0.45909271543484553,-0.5367135199858364,1.051,40.0
229,1.7169536814239734,1.337020070497234,1.12,55.0
230,-0.16718405244159093,-1.394184824105203,1.059,41.0
231,-0.06103544771676902,0.7653725344176545,1.062,38.0
232,-0.007961145354358061,-1.2671520383097434,1.06,56.0
